u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
3188827113,82911524,0,10085009,residential,False,104.03500000000003,370 South,"LINESTRING (-111.855416 41.724809, -111.8555179 41.724761, -111.8556016 41.7247623, -111.8561732 41.7247711, -111.8563117 41.7247822, -111.8564227 41.7248346, -111.8565776 41.7249371)",41.6,278.4,9.0,-0.013,0.013,163672.85556809552,,,,,,,
82911524,82911201,0,10082903,residential,False,93.522,Willow Drive,"LINESTRING (-111.8565776 41.7249371, -111.8557729 41.7255259)",41.6,45.6,8.1,0.003,0.003,147506.33786713533,,,,,,,
82911524,3188827113,0,10085009,residential,False,104.035,370 South,"LINESTRING (-111.8565776 41.7249371, -111.8564227 41.7248346, -111.8563117 41.7247822, -111.8561732 41.7247711, -111.8556016 41.7247623, -111.8555179 41.724761, -111.855416 41.724809)",41.6,98.4,9.0,0.013,0.013,163982.88972489088,,,,,,,
82911524,82928410,0,10085009,residential,False,284.802,370 South,"LINESTRING (-111.8565776 41.7249371, -111.8567126 41.7248183, -111.8568478 41.7247758, -111.8597609 41.7248199, -111.8599235 41.7248224)",41.6,267.4,24.6,-0.016,0.016,447070.230560389,,,,,,,
82928410,82911200,0,182951966,primary,False,126.505,1000 West,"LINESTRING (-111.8599235 41.7248224, -111.8598959 41.7259599)",80.5,1.0,5.7,-0.012,0.012,416657.58825534425,5,50 mph,UT 252,,,,
82928410,82918681,0,182951966,primary,False,70.223,1000 West,"LINESTRING (-111.8599235 41.7248224, -111.8599404 41.724191)",80.5,181.1,3.1,0.003,0.003,233135.04150504954,5,50 mph,UT 252,,,,
82928410,82911524,0,10085009,residential,False,284.802,370 South,"LINESTRING (-111.8599235 41.7248224, -111.8597609 41.7248199, -111.8568478 41.7247758, -111.8567126 41.7248183, -111.8565776 41.7249371)",41.6,87.4,24.6,0.016,0.016,447433.3636834139,,,,,,,
82918681,82928410,0,182951966,primary,False,70.223,1000 West,"LINESTRING (-111.8599404 41.724191, -111.8599235 41.7248224)",80.5,1.1,3.1,-0.003,0.003,233736.41404614973,5,50 mph,UT 252,,,,
82918681,82935496,0,182951966,primary,False,65.029,1000 West,"LINESTRING (-111.8599404 41.724191, -111.8599565 41.7236063)",80.5,181.2,2.9,-0.005,0.005,216199.29845937394,5,50 mph,UT 252,,,,
82918681,82918686,0,10083911,residential,False,282.177,Knowles Lane,"LINESTRING (-111.8599404 41.724191, -111.8597568 41.7241868, -111.8573307 41.724131, -111.8573658 41.7235426)",41.6,108.6,24.4,0.015,0.015,443274.9042298518,,,,,,,
82918686,82918681,0,10083911,residential,False,282.177,Knowles Lane,"LINESTRING (-111.8573658 41.7235426, -111.8573307 41.724131, -111.8597568 41.7241868, -111.8599404 41.724191)",41.6,288.6,24.4,-0.015,0.015,442991.43769252446,,,,,,,
82918686,82935496,0,10086322,residential,False,215.124,Three Pointe Avenue,"LINESTRING (-111.8573658 41.7235426, -111.8574796 41.7235454, -111.8575147 41.7235462, -111.8584389 41.723569, -111.8586977 41.7235753, -111.8597598 41.7236015, -111.8599565 41.7236063)",41.6,271.9,18.6,-0.022,0.022,337809.8337729725,,,,,,,
82918686,82931003,0,10086322,residential,False,292.79699999999997,Three Pointe Avenue,"LINESTRING (-111.8573658 41.7235426, -111.8572929 41.7235408, -111.8539635 41.7234589, -111.8538397 41.7234558)",41.6,91.9,25.3,0.009,0.009,459939.5165784673,,,,,,,
82931003,82931001,0,10085318,residential,False,57.465,Southwest Street,"LINESTRING (-111.8538397 41.7234558, -111.8531475 41.7234428)",41.6,91.4,5.0,0.018,0.018,90994.47857942409,,,,,,,
82931003,82918686,0,10086322,residential,False,292.79699999999997,Three Pointe Avenue,"LINESTRING (-111.8538397 41.7234558, -111.8539635 41.7234589, -111.8572929 41.7235408, -111.8573658 41.7235426)",41.6,271.9,25.3,-0.009,0.009,459633.4477149367,,,,,,,
82931003,2000007103,0,182951929,residential,False,208.26,Southwest Street,"LINESTRING (-111.8538397 41.7234558, -111.8538494 41.7233539, -111.8539302 41.7232496, -111.8540984 41.7231209, -111.8545699 41.7226914, -111.8547414 41.7225052, -111.8548189 41.72234, -111.8548386 41.7221087, -111.8548479 41.7218263)",41.6,204.8,18.0,-0.007,0.007,327091.59230767004,,,,,,,
82931001,82931003,0,10085318,residential,False,57.465,Southwest Street,"LINESTRING (-111.8531475 41.7234428, -111.8538397 41.7234558)",41.6,271.4,5.0,-0.018,0.018,90630.08604743498,,,,,,,
82931001,82933234,0,182951963,tertiary,False,124.829,Park Avenue,"LINESTRING (-111.8531475 41.7234428, -111.8531765 41.7223204)",48.3,181.1,9.3,-0.017,0.017,230973.9127877692,,30 mph,,,,,
