u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
3188827113,82911524,0,10085009,residential,False,104.03500000000003,370 South,"LINESTRING (-111.855416 41.724809, -111.8555179 41.724761, -111.8556016 41.7247623, -111.8561732 41.7247711, -111.8563117 41.7247822, -111.8564227 41.7248346, -111.8565776 41.7249371)",41.6,278.4,9.0,-0.013,0.013,163672.85556809552,,,,,,,
82911524,82911201,0,10082903,residential,False,93.522,Willow Drive,"LINESTRING (-111.8565776 41.7249371, -111.8557729 41.7255259)",41.6,45.6,8.1,0.003,0.003,147506.33786713533,,,,,,,
82911524,3188827113,0,10085009,residential,False,104.035,370 South,"LINESTRING (-111.8565776 41.7249371, -111.8564227 41.7248346, -111.8563117 41.7247822, -111.8561732 41.7247711, -111.8556016 41.7247623, -111.8555179 41.724761, -111.855416 41.724809)",41.6,98.4,9.0,0.013,0.013,163982.88972489088,,,,,,,
82911524,82928410,0,10085009,residential,False,284.802,370 South,"LINESTRING (-111.8565776 41.7249371, -111.8567126 41.7248183, -111.8568478 41.7247758, -111.8597609 41.7248199, -111.8599235 41.7248224)",41.6,267.4,24.6,-0.016,0.016,447070.230560389,,,,,,,
82928410,82911200,0,182951966,primary,False,126.505,1000 West,"LINESTRING (-111.8599235 41.7248224, -111.8598959 41.7259599)",80.5,1.0,5.7,-0.012,0.012,416657.58825534425,5,50 mph,UT 252,,,,
82928410,82918681,0,182951966,primary,False,70.223,1000 West,"LINESTRING (-111.8599235 41.7248224, -111.8599404 41.724191)",80.5,181.1,3.1,0.003,0.003,233135.04150504954,5,50 mph,UT 252,,,,
82928410,82911524,0,10085009,residential,False,284.802,370 South,"LINESTRING (-111.8599235 41.7248224, -111.8597609 41.7248199, -111.8568478 41.7247758, -111.8567126 41.7248183, -111.8565776 41.7249371)",41.6,87.4,24.6,0.016,0.016,447433.3636834139,,,,,,,
82911200,82929570,0,182951966,primary,False,235.785,1000 West,"LINESTRING (-111.8598959 41.7259599, -111.8598363 41.7280799)",80.5,1.2,10.5,-0.006,0.006,771973.3914960076,5,50 mph,UT 252,,,,
82911200,82928410,0,182951966,primary,False,126.505,1000 West,"LINESTRING (-111.8598959 41.7259599, -111.8599235 41.7248224)",80.5,181.0,5.7,0.012,0.012,416167.8053947896,5,50 mph,UT 252,,,,
82911200,82885645,0,10082862,residential,False,53.681,330 South,"LINESTRING (-111.8598959 41.7259599, -111.8597444 41.7259557, -111.8592495 41.725942)",41.6,92.1,4.6,0.035,0.035,85114.09748164905,,,,,,,
82929570,82929568,0,182543767,unclassified,False,104.702,200 South,"LINESTRING (-111.8598363 41.7280799, -111.8585748 41.7280642)",48.5,91.0,7.8,0.009,0.009,195151.3084759489,,,,,,,
82929570,82911200,0,182951966,primary,False,235.785,1000 West,"LINESTRING (-111.8598363 41.7280799, -111.8598959 41.7259599)",80.5,181.2,10.5,0.006,0.006,771407.0232106673,5,50 mph,UT 252,,,,
82929570,82919382,0,"[182543768, 10083974]",primary,False,840.981,1000 West,"LINESTRING (-111.8598363 41.7280799, -111.8598019 41.7293672, -111.8597407 41.7316527, -111.8597353 41.7318553, -111.8596881 41.7336119, -111.8596563 41.7348073, -111.859634 41.7356415)",80.5,1.1,37.6,-0.0,0.0,2739546.6857811594,5,50 mph,UT 252,,,,
82929570,82922568,0,182543788,unclassified,False,144.08499999999998,200 South,"LINESTRING (-111.8598363 41.7280799, -111.8608189 41.7281, -111.8615719 41.7281154)",48.5,271.6,10.7,-0.009,0.009,267647.3046475852,,,,,,,
82929568,82929570,0,182543767,unclassified,False,104.702,200 South,"LINESTRING (-111.8585748 41.7280642, -111.8598363 41.7280799)",48.5,271.0,7.8,-0.009,0.009,194742.60306219515,,,,,,,
82929568,360729038,0,182543767,unclassified,False,73.412,200 South,"LINESTRING (-111.8585748 41.7280642, -111.8576903 41.7280532)",48.5,91.0,5.4,0.008,0.008,137225.35558414584,,,,,,,
82929568,360794014,0,32134549,residential,False,86.838,Sunstone Circle,"LINESTRING (-111.8585748 41.7280642, -111.8585922 41.7276937, -111.8586196 41.7275764, -111.8587129 41.7274656, -111.858871 41.7273571)",41.6,197.4,7.5,0.006,0.006,136767.00708411704,,,,,,,
360729038,82929568,0,182543767,unclassified,False,73.412,200 South,"LINESTRING (-111.8576903 41.7280532, -111.8585748 41.7280642)",48.5,271.0,5.4,-0.008,0.008,136824.01012031813,,,,,,,
360729038,82929566,0,182543767,unclassified,False,95.563,200 South,"LINESTRING (-111.8576903 41.7280532, -111.8565389 41.7280391)",48.5,90.9,7.1,0.014,0.014,178252.32669872232,,,,,,,
