u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
2532975861,2407469132,0,"[232398418, 232398415]",residential,False,231.00900000000004,"['West 1750 South', 'South 1150 West']","LINESTRING (-111.8647981 41.7010752, -111.8646971 41.7010751, -111.8637856 41.7010746, -111.8637048 41.7010975, -111.8636461 41.7011427, -111.8636211 41.701174, -111.863612 41.7012032, -111.8636085 41.7012429, -111.8636085 41.7019438, -111.8636193 41.7019918, -111.8636515 41.7020439, -111.8638382 41.7021925, -111.863909 41.7022487)",41.6,29.5,20.0,-0.004,0.004,362860.03522700386,2,,,,,,
2532975861,2407469132,1,"[943712992, 238030597]",residential,False,161.21800000000002,"['South Emme Way', 'West Emme Way']","LINESTRING (-111.8647981 41.7010752, -111.8648001 41.7011515, -111.8648099 41.70147, -111.8647831 41.7015821, -111.8647192 41.7016855, -111.8646315 41.7017619, -111.8639661 41.7022102, -111.863909 41.7022487)",41.6,29.5,14.0,-0.006,0.006,253429.2368466457,2,,,,,,
2532975861,2532975860,0,232398428,residential,False,63.415,South Emme Way,"LINESTRING (-111.8647981 41.7010752, -111.8647977 41.7010037, -111.8647963 41.7005921, -111.864796 41.7005049)",41.6,179.8,5.5,0.006,0.006,100205.54937479972,2,,,,,,
2532975861,2408517910,0,"[232398427, 943712991]",residential,False,202.507,"['West 1750 South', 'South 1240 West']","LINESTRING (-111.8647981 41.7010752, -111.8648985 41.7010746, -111.8655612 41.7010706, -111.8656682 41.7010895, -111.865765 41.7011267, -111.8658348 41.7011788, -111.8658616 41.7012188, -111.8658831 41.7012629, -111.8658992 41.701311, -111.8659062 41.7021841)",41.6,323.3,17.5,-0.009,0.009,318134.9946053054,2,,,,,,
2532975860,2407469088,0,"[232398426, 232398422]",residential,False,398.363,"['South 1120 West', 'West 1780 South']","LINESTRING (-111.864796 41.7005049, -111.8646999 41.7005052, -111.8630185 41.7005099, -111.8629324 41.7005367, -111.8628948 41.7005808, -111.8628629 41.700614, -111.8628629 41.7006501, -111.862861 41.7008263, -111.8628522 41.7023483, -111.8628736 41.7024524, -111.8629498 41.7026339, -111.8629759 41.7026936)",41.6,31.8,34.5,-0.005,0.005,625251.0283239252,2,,,,,,
2532975860,2407469077,0,232398422,residential,False,112.97800000000001,West 1780 South,"LINESTRING (-111.864796 41.7005049, -111.864913 41.7005043, -111.8658463 41.7004994, -111.8661568 41.700499)",41.6,269.7,9.8,-0.015,0.015,177774.70709720158,2,,,,,,
2532975860,2532975861,0,232398428,residential,False,63.415,South Emme Way,"LINESTRING (-111.864796 41.7005049, -111.8647963 41.7005921, -111.8647977 41.7010037, -111.8647981 41.7010752)",41.6,359.8,5.5,-0.006,0.006,100067.5531914756,2,,,,,,
2532975860,2407469116,0,232398428,residential,False,44.466,South Emme Way,"LINESTRING (-111.864796 41.7005049, -111.8647979 41.7004361, -111.8648045 41.7001964, -111.8648073 41.7001051)",41.6,181.2,3.8,-0.026,0.026,70394.02954078086,2,,,,,,
2407469116,2407469121,0,943712989,unclassified,False,156.568,1800 South,"LINESTRING (-111.8648073 41.7001051, -111.8666931 41.700095)",48.7,269.6,11.6,-0.009,0.009,292202.1384232204,,,,,,,
2407469116,2532975860,0,232398428,residential,False,44.466,South Emme Way,"LINESTRING (-111.8648073 41.7001051, -111.8648045 41.7001964, -111.8647979 41.7004361, -111.864796 41.7005049)",41.6,1.2,3.8,0.026,0.026,70459.20516556341,2,,,,,,
