u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
8142025946,82917877,0,"[10083784, 1007846356, 1007846357]",tertiary,False,1682.593,3200 West,"LINESTRING (-111.911751 41.765112, -111.911751 41.7677124, -111.911763 41.7707478, -111.9117579 41.7709664, -111.9117758 41.7738904, -111.9117876 41.7757325, -111.9118118 41.7793683, -111.9117901 41.7802436)",45.1,359.9,134.3,0.001,0.001,2879331.437430402,,,,yes,,,
8142025946,82917869,0,10083784,tertiary,False,2614.504,3200 West,"LINESTRING (-111.911751 41.765112, -111.9116745 41.7578266, -111.9116617 41.7560987, -111.911624 41.7483264, -111.9115632 41.7418392, -111.9115615 41.7415997)",45.1,179.7,208.7,-0.0,0.0,4473709.0121055115,,,,,,,
8142025946,82885713,0,10085422,residential,False,740.412,1800 North,"LINESTRING (-111.911751 41.765112, -111.9104187 41.7651076, -111.9067545 41.7651334, -111.902824 41.765114)",41.6,90.0,64.1,0.001,0.001,1161615.2404826095,,,,,,,
82917869,8142025946,0,10083784,tertiary,False,2614.504,3200 West,"LINESTRING (-111.9115615 41.7415997, -111.9115632 41.7418392, -111.911624 41.7483264, -111.9116617 41.7560987, -111.9116745 41.7578266, -111.911751 41.765112)",45.1,359.7,208.7,0.0,0.0,4473588.569207881,,,,,,,
82917869,82930156,0,"[954774080, 954774081, 759714562, 759714561, 1058677591, 954774073, 954774074, 954774075, 954774076, 954774077, 954774078, 954774079]",trunk,False,5776.888000000001,Highway 30,"LINESTRING (-111.9115615 41.7415997, -111.9122215 41.7417593, -111.9207892 41.7438301, -111.9277 41.7455003, -111.9281553 41.7455975, -111.9285177 41.7456602, -111.929064 41.7457179, -111.9297061 41.7457431, -111.9342103 41.7458168, -111.9343197 41.7458185, -111.9441876 41.7459799, -111.9443308 41.7459823, -111.9481227 41.7460443, -111.9511981 41.7461594, -111.9523714 41.7462027, -111.9528878 41.7462217, -111.9536271 41.746249, -111.9580221 41.7463428, -111.9588759 41.7463734, -111.9589824 41.7463772, -111.9597448 41.7464401, -111.9606422 41.7465258, -111.9614142 41.7466232, -111.9622596 41.7467525, -111.963742 41.7470626, -111.9672269 41.7478768, -111.9696049 41.748445, -111.9722921 41.7490716, -111.9744986 41.749596, -111.975244 41.7497718, -111.9760787 41.7499683, -111.9777868 41.7503741, -111.9779137 41.7504045, -111.9794547 41.7507706)",96.6,280.3,215.3,0.004,0.004,23168827.382363316,"['4', '3', '2']",60 mph,UT 30,yes,,,
82917869,82928278,0,"[954774082, 954774083, 954775405, 954775406, 36944752, 954775408, 954775410, 954775411, 954775412, 954775413, 1012796216]",trunk,False,2748.209,"['200 North', 'Highway 30']","LINESTRING (-111.9115615 41.7415997, -111.9044042 41.7398608, -111.903836 41.7397259, -111.901813 41.7392417, -111.899657 41.7387246, -111.8970017 41.7381051, -111.8964018 41.7379658, -111.8952713 41.7377029, -111.8936346 41.7373002, -111.8931808 41.7371858, -111.8917947 41.7368361, -111.8907743 41.7365786, -111.8902752 41.7364527, -111.8896525 41.7363068, -111.889528 41.7362789, -111.8891159 41.7361862, -111.8886401 41.7360993, -111.88812 41.7360359, -111.8848756 41.7359924, -111.882601 41.7359643, -111.8805413 41.7359419, -111.8796061 41.7359317)",92.0,103.4,107.5,0.001,0.001,10420376.080001924,"['4', '3', '2']","['55 mph', '60 mph']",UT 30,,,,
82928278,82929584,0,"[10084985, 10085313]",unclassified,False,849.326,1900 West,"LINESTRING (-111.8796061 41.7359317, -111.8796165 41.7358113, -111.879672 41.735177, -111.8797562 41.7320351, -111.879766 41.731671, -111.8798095 41.728296)",64.4,181.1,47.5,0.0,0.0,2150686.7666914845,2,40 mph,,,,,
82928278,82917869,0,"[954774082, 954774083, 954775405, 954775406, 954775408, 36944752, 954775410, 954775411, 954775412, 954775413, 1012796216]",trunk,False,2748.209,"['200 North', 'Highway 30']","LINESTRING (-111.8796061 41.7359317, -111.8805413 41.7359419, -111.882601 41.7359643, -111.8848756 41.7359924, -111.88812 41.7360359, -111.8886401 41.7360993, -111.8891159 41.7361862, -111.889528 41.7362789, -111.8896525 41.7363068, -111.8902752 41.7364527, -111.8907743 41.7365786, -111.8917947 41.7368361, -111.8931808 41.7371858, -111.8936346 41.7373002, -111.8952713 41.7377029, -111.8964018 41.7379658, -111.8970017 41.7381051, -111.899657 41.7387246, -111.901813 41.7392417, -111.903836 41.7397259, -111.9044042 41.7398608, -111.9115615 41.7415997)",92.0,283.4,107.5,-0.001,0.001,10420049.643702814,"['4', '3', '2']","['55 mph', '60 mph']",UT 30,,,,
82928278,82928760,0,"[954775416, 681741562, 954775418]",trunk,False,833.0600000000001,200 North,"LINESTRING (-111.8796061 41.7359317, -111.8786223 41.7359093, -111.8770808 41.7359028, -111.8753251 41.7358821, -111.8743371 41.735871, -111.8708845 41.735823, -111.8696618 41.735796, -111.8695683 41.735795)",88.5,91.0,33.9,0.005,0.005,3025324.0667552403,"['3', '2']",55 mph,UT 30,,,,
82928760,82936031,0,10085833,unclassified,False,835.413,1400 West,"LINESTRING (-111.8695683 41.735795, -111.8695713 41.7356952, -111.8695959 41.7349615, -111.8696192 41.7342663, -111.8696417 41.7335975, -111.869691 41.7321265, -111.8696996 41.7318702, -111.8697077 41.7316286, -111.8698197 41.7282843)",48.6,181.4,61.9,0.001,0.001,1551141.973898183,,,,,,,
82928760,82928278,0,"[954775416, 954775418, 681741562]",trunk,False,833.06,200 North,"LINESTRING (-111.8695683 41.735795, -111.8696618 41.735796, -111.8708845 41.735823, -111.8743371 41.735871, -111.8753251 41.7358821, -111.8770808 41.7359028, -111.8786223 41.7359093, -111.8796061 41.7359317)",88.5,271.0,33.9,-0.005,0.005,3025061.880606941,"['3', '2']",55 mph,UT 30,,,,
82928760,82885593,0,"[954775417, 954775419]",trunk,False,392.78499999999997,200 North,"LINESTRING (-111.8695683 41.735795, -111.8689002 41.7357841, -111.8648352 41.7357395)",88.5,90.9,16.0,0.006,0.006,1430108.85020697,"['3', '2']",55 mph,UT 30,,,,
82885593,7221820919,0,954775420,trunk,False,215.443,200 North,"LINESTRING (-111.8648352 41.7357395, -111.8622397 41.7356874)",72.4,91.5,10.7,0.003,0.003,625002.2270368554,2,45 mph,UT 30,,,,
82885593,82911285,0,10080310,unclassified,False,625.531,400 North,"LINESTRING (-111.8648352 41.7357395, -111.864839 41.7358554, -111.8648438 41.7359637, -111.8650927 41.7361942, -111.8650278 41.7362409, -111.8649125 41.7363251, -111.8644576 41.7366554, -111.863934 41.7373087, -111.863316 41.7378531, -111.8629212 41.7380772, -111.8623699 41.7382921, -111.8617261 41.7384394, -111.861101 41.7384912, -111.859543 41.7384538)",48.6,55.5,46.3,0.003,0.003,1161669.554331908,,,,,,,
82885593,82928760,0,"[954775417, 954775419]",trunk,False,392.78499999999997,200 North,"LINESTRING (-111.8648352 41.7357395, -111.8689002 41.7357841, -111.8695683 41.735795)",88.5,270.9,16.0,-0.006,0.006,1429834.0362808215,"['3', '2']",55 mph,UT 30,,,,
7221820919,82885593,0,954775420,trunk,False,215.443,200 North,"LINESTRING (-111.8622397 41.7356874, -111.8648352 41.7357395)",72.4,271.5,10.7,-0.003,0.003,624836.0595416165,2,45 mph,UT 30,,,,
7221820919,7221820918,0,"[773697642, 773697643]",unclassified,False,308.779,250 North,"LINESTRING (-111.8622397 41.7356874, -111.8622215 41.7361745, -111.8622128 41.7364379, -111.862209 41.7365067, -111.862155 41.736544, -111.8610738 41.7365262, -111.8602453 41.7365102, -111.8596064 41.7364978)",48.6,67.6,22.9,0.005,0.005,574023.6201656027,,,,,,,
7221820919,82919382,0,"[954775420, 954775421]",trunk,False,216.27300000000002,200 North,"LINESTRING (-111.8622397 41.7356874, -111.8619023 41.7356807, -111.8612267 41.7356671, -111.8610465 41.7356642, -111.8607281 41.7356591, -111.859634 41.7356415)",72.4,91.4,10.8,0.006,0.006,627411.5749588164,"['4', '2']",45 mph,UT 30,,,,
82919382,7221820918,0,160067600,primary,False,95.244,1000 West,"LINESTRING (-111.859634 41.7356415, -111.8596064 41.7364978)",80.5,1.4,4.3,0.002,0.002,314600.36580551026,5,50 mph,UT 252,,,,
82919382,82929570,0,"[182543768, 10083974]",primary,False,840.981,1000 West,"LINESTRING (-111.859634 41.7356415, -111.8596563 41.7348073, -111.8596881 41.7336119, -111.8597353 41.7318553, -111.8597407 41.7316527, -111.8598019 41.7293672, -111.8598363 41.7280799)",80.5,181.1,37.6,0.0,0.0,2739414.414258285,5,50 mph,UT 252,,,,
82919382,7221820919,0,"[954775420, 954775421]",trunk,False,216.273,200 North,"LINESTRING (-111.859634 41.7356415, -111.8607281 41.7356591, -111.8610465 41.7356642, -111.8612267 41.7356671, -111.8619023 41.7356807, -111.8622397 41.7356874)",72.4,271.4,10.8,-0.006,0.006,627212.9819211909,"['4', '2']",45 mph,UT 30,,,,
82919382,82911475,0,"[954775422, 954775423]",trunk,False,138.198,200 North,"LINESTRING (-111.859634 41.7356415, -111.8588459 41.7356303, -111.8579688 41.7356178)",72.4,91.1,6.9,0.008,0.008,402308.24169322144,"['4', '3']",45 mph,UT 30,,,,
7221820918,82919382,0,160067600,primary,False,95.244,1000 West,"LINESTRING (-111.8596064 41.7364978, -111.859634 41.7356415)",80.5,181.4,4.3,-0.002,0.002,314954.95960338047,5,50 mph,UT 252,,,,
7221820918,82911285,0,160067600,primary,False,217.561,1000 West,"LINESTRING (-111.8596064 41.7364978, -111.8596039 41.7365602, -111.8595843 41.7371659, -111.859543 41.7384538)",80.5,1.4,9.7,-0.001,0.001,712243.7639955895,5,50 mph,UT 252,,,,
7221820918,7221820919,0,"[773697642, 773697643]",unclassified,False,308.779,250 North,"LINESTRING (-111.8596064 41.7364978, -111.8602453 41.7365102, -111.8610738 41.7365262, -111.862155 41.736544, -111.862209 41.7365067, -111.8622128 41.7364379, -111.8622215 41.7361745, -111.8622397 41.7356874)",48.6,247.6,22.9,-0.005,0.005,573987.7954287196,,,,,,,
82911285,82885593,0,10080310,unclassified,False,625.5309999999998,400 North,"LINESTRING (-111.859543 41.7384538, -111.861101 41.7384912, -111.8617261 41.7384394, -111.8623699 41.7382921, -111.8629212 41.7380772, -111.863316 41.7378531, -111.863934 41.7373087, -111.8644576 41.7366554, -111.8649125 41.7363251, -111.8650278 41.7362409, -111.8650927 41.7361942, -111.8648438 41.7359637, -111.864839 41.7358554, -111.8648352 41.7357395)",48.6,235.5,46.3,-0.003,0.003,1161680.00960428,,,,,,,
82911285,82911283,0,10082870,unclassified,False,137.786,400 North,"LINESTRING (-111.859543 41.7384538, -111.858363 41.738432, -111.8578829 41.7384231)",48.6,91.4,10.2,0.003,0.003,256804.07041670213,,,,,,,
82911285,82919386,0,160067600,primary,False,516.744,1000 West,"LINESTRING (-111.859543 41.7384538, -111.859523 41.7394718, -111.8594699 41.7402004, -111.8594175 41.7406792, -111.85935 41.7412969, -111.8592588 41.7420998, -111.8592521 41.7421837, -111.8592281 41.7425229, -111.8591889 41.7430919)",80.5,3.3,23.1,-0.002,0.002,1684906.7537393423,5,50 mph,UT 252,,,,
82911285,7221820918,0,160067600,primary,False,217.561,1000 West,"LINESTRING (-111.859543 41.7384538, -111.8595843 41.7371659, -111.8596039 41.7365602, -111.8596064 41.7364978)",80.5,181.4,9.7,0.001,0.001,712635.0057919432,5,50 mph,UT 252,,,,
82919386,10007413527,0,10084586,unclassified,False,1238.335,600 North,"LINESTRING (-111.8591889 41.7430919, -111.8594993 41.743097, -111.8607589 41.7431177, -111.8612602 41.7431259, -111.8626713 41.743149, -111.8637144 41.7431661, -111.8642615 41.7431751, -111.8741123 41.743283)",48.6,271.0,91.7,-0.004,0.004,2298564.1404282157,,,,,,,
82919386,82919390,0,160067600,primary,False,434.932,1000 West,"LINESTRING (-111.8591889 41.7430919, -111.859155 41.7444151, -111.8591251 41.7456848, -111.8590948 41.7470027)",80.5,1.0,19.5,0.005,0.005,1418969.245382992,5,50 mph,UT 252,,,,
82919386,82911285,0,160067600,primary,False,516.7439999999999,1000 West,"LINESTRING (-111.8591889 41.7430919, -111.8592281 41.7425229, -111.8592521 41.7421837, -111.8592588 41.7420998, -111.85935 41.7412969, -111.8594175 41.7406792, -111.8594699 41.7402004, -111.859523 41.7394718, -111.859543 41.7384538)",80.5,183.3,23.1,0.002,0.002,1685304.5650700387,5,50 mph,UT 252,,,,
82919386,82925273,0,1063452301,unclassified,False,399.58500000000004,600 North,"LINESTRING (-111.8591889 41.7430919, -111.8589678 41.7430885, -111.8582296 41.7430769, -111.8572854 41.7430622, -111.8562553 41.7430462, -111.8551948 41.7430297, -111.8543736 41.7430332)",48.6,90.9,29.6,0.013,0.013,742555.2170811405,,,,,,,
82919390,431613265,0,10084116,unclassified,False,412.322,800 North,"LINESTRING (-111.8590948 41.7470027, -111.8616612 41.7470478, -111.8640634 41.7470917)",48.6,271.4,30.5,-0.009,0.009,766045.8369718147,,,,,,,
82919390,82920981,0,10084116,unclassified,False,397.14700000000005,800 North,"LINESTRING (-111.8590948 41.7470027, -111.8587238 41.7469969, -111.8581346 41.7469878, -111.8573244 41.7469752, -111.8569295 41.746969, -111.856439 41.7469613, -111.8558044 41.7469514, -111.8556098 41.7469484, -111.8549922 41.7469388, -111.8543087 41.7469302)",48.6,91.2,29.4,0.011,0.011,738024.9953794013,,,,,,,
82919390,82919393,0,160067600,primary,False,393.69100000000003,1000 West,"LINESTRING (-111.8590948 41.7470027, -111.8590557 41.7486064, -111.8590046 41.7505426)",80.5,1.1,17.6,0.001,0.001,1284867.374072939,5,50 mph,UT 252,,,,
82919390,82919386,0,160067600,primary,False,434.932,1000 West,"LINESTRING (-111.8590948 41.7470027, -111.8591251 41.7456848, -111.859155 41.7444151, -111.8591889 41.7430919)",80.5,181.0,19.5,-0.005,0.005,1419288.3270059463,5,50 mph,UT 252,,,,
82919393,82934220,0,10085816,tertiary,False,398.19100000000003,1000 North,"LINESTRING (-111.8590046 41.7505426, -111.8574495 41.7505249, -111.8561924 41.7505102, -111.8542052 41.7504881)",45.1,90.9,31.8,0.01,0.01,682164.4650939811,,,,,,,
82919393,82915036,0,10085816,tertiary,False,423.106,1000 North,"LINESTRING (-111.8590046 41.7505426, -111.8595646 41.750549, -111.8600805 41.7505548, -111.8608745 41.7505639, -111.8612725 41.7505684, -111.8623245 41.7505803, -111.8641044 41.7505958)",45.1,270.8,33.8,-0.009,0.009,724672.280974977,,,,,,,
82919393,1721410217,0,160067600,primary,False,761.3459999999999,1000 West,"LINESTRING (-111.8590046 41.7505426, -111.8589696 41.752034, -111.8589642 41.7522672, -111.858915 41.7542997, -111.8588745 41.755802, -111.858833 41.7573391, -111.8588268 41.7573881)",80.5,1.1,34.0,-0.002,0.002,2480122.9733346887,5,50 mph,UT 252,,,,
82919393,82919390,0,160067600,primary,False,393.69100000000003,1000 West,"LINESTRING (-111.8590046 41.7505426, -111.8590557 41.7486064, -111.8590948 41.7470027)",80.5,181.1,17.6,-0.001,0.001,1285235.03747283,5,50 mph,UT 252,,,,
1721410217,82919398,0,182543778,primary,False,65.156,1000 West,"LINESTRING (-111.8588268 41.7573881, -111.8588152 41.757974)",80.5,0.8,2.9,-0.002,0.002,216756.7610872311,4,50 mph,UT 252,,,,
1721410217,1721410211,0,160067598,primary_link,True,106.712,,"LINESTRING (-111.8588268 41.7573881, -111.8587375 41.7575233, -111.8586443 41.75765, -111.8585108 41.7577687, -111.858388 41.7578289, -111.8581479 41.7579004, -111.8578814 41.7579582)",59.5,51.0,6.5,0.0,0.0,249222.00779951765,1,,,,,,
1721410217,82919393,0,160067600,primary,False,761.3459999999999,1000 West,"LINESTRING (-111.8588268 41.7573881, -111.858833 41.7573391, -111.8588745 41.755802, -111.858915 41.7542997, -111.8589642 41.7522672, -111.8589696 41.752034, -111.8590046 41.7505426)",80.5,181.1,34.0,0.002,0.002,2480527.284733064,5,50 mph,UT 252,,,,
1721410211,82919398,0,182543779,secondary,False,77.476,1400 North,"LINESTRING (-111.8578814 41.7579582, -111.8588152 41.757974)",64.6,271.3,4.3,-0.002,0.002,199203.15555714536,,,,,,,
1721410211,82934172,0,182543764,secondary,False,312.435,1400 North,"LINESTRING (-111.8578814 41.7579582, -111.856662 41.7579457, -111.856437 41.7579434, -111.856298 41.757942, -111.8551082 41.7579299, -111.8541151 41.7579197)",64.6,90.8,17.4,0.012,0.012,795640.6510579835,,,,,,,
82934172,278790313,0,25575583,unclassified,False,302.396,800 West,"LINESTRING (-111.8541151 41.7579197, -111.8540679 41.7599382, -111.8540669 41.7599806, -111.854051 41.7606388)",48.6,1.0,22.4,-0.004,0.004,562080.3782564644,,,,,,,
