u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
82901501,82901497,0,10081804,residential,False,218.259,1600 North,"LINESTRING (-111.8289291 41.7611579, -111.8287896 41.7611386, -111.8285928 41.7611353, -111.8280967 41.7611269, -111.8277894 41.7611217, -111.8268696 41.7611061, -111.826822 41.7611053, -111.8266879 41.7610757, -111.8265928 41.7609877, -111.8265912 41.7608161)",41.6,101.1,18.9,0.016,0.016,343060.3801401316,,,,,,,
82901501,82918371,0,"[32134944, 10084501]",unclassified,False,445.423,1600 North,"LINESTRING (-111.8289291 41.7611579, -111.8291039 41.761192, -111.8294238 41.7611968, -111.8303584 41.7612107, -111.8305622 41.7612138, -111.8312634 41.7612242, -111.8316114 41.7612259, -111.8327119 41.7612311, -111.8329148 41.7612323, -111.8333305 41.7612431, -111.83385 41.7612777, -111.834286 41.7613254)",48.7,272.4,32.9,-0.012,0.012,829211.0464826409,"['2', '3']",,,,,,
82901501,82933926,0,369164998,tertiary,False,132.674,North 200 East,"LINESTRING (-111.8289291 41.7611579, -111.8289552 41.7603612, -111.8289589 41.76025, -111.8289682 41.7599651)",45.2,181.4,10.6,0.009,0.009,228469.69140398534,2,,,,,,
82901501,82905217,0,943678571,tertiary,False,171.47500000000002,North 200 East,"LINESTRING (-111.8289291 41.7611579, -111.8289149 41.7613642, -111.8288882 41.7617561, -111.8288677 41.7620544, -111.8288532 41.7622664, -111.8288237 41.762698)",45.2,2.9,13.7,-0.007,0.007,294926.46588361403,3,,,,,,
82933926,82936261,0,10086087,residential,False,77.98,1530 North,"LINESTRING (-111.8289682 41.7599651, -111.8280286 41.7599412)",41.6,92.0,6.7,0.019,0.019,123127.38729515919,,,,,,,
82933926,82882344,0,369164998,tertiary,False,276.349,North 200 East,"LINESTRING (-111.8289682 41.7599651, -111.8289886 41.759347, -111.8290025 41.7589254, -111.8290192 41.7584167, -111.8290295 41.7581036, -111.8290448 41.7576383, -111.82905 41.7574806)",45.2,181.4,22.0,0.001,0.001,474823.3252685207,2,,,,,,
82933926,82901501,0,369164998,tertiary,False,132.674,North 200 East,"LINESTRING (-111.8289682 41.7599651, -111.8289589 41.76025, -111.8289552 41.7603612, -111.8289291 41.7611579)",45.2,1.4,10.6,-0.009,0.009,228378.87548425372,2,,,,,,
82882344,9220933070,0,182952367,tertiary,False,356.67599999999993,North 200 East,"LINESTRING (-111.82905 41.7574806, -111.8290558 41.7573316, -111.829083 41.7566219, -111.8290896 41.7564691, -111.8291093 41.7559641, -111.8291177 41.7557496, -111.829135 41.7552823, -111.829145 41.7550519, -111.8291604 41.7546527, -111.8291754 41.7542743)",45.2,181.7,28.4,0.001,0.001,612571.5041053408,2,,,,,,
82882344,82882346,0,"[182952368, 1057232308]",secondary,False,438.19899999999996,1400 North,"LINESTRING (-111.82905 41.7574806, -111.8292241 41.757484, -111.8297409 41.7574939, -111.8301481 41.7575018, -111.8304098 41.7575069, -111.8306154 41.7575109, -111.8310996 41.7575203, -111.8314474 41.757527, -111.8316603 41.7575311, -111.8317405 41.7575327, -111.8322385 41.7575423, -111.8334034 41.7575666, -111.8341654 41.757581, -111.834331 41.7575828)",72.4,271.5,21.8,-0.014,0.014,1266839.4750403864,4,45 mph,,,,,
82882344,82882340,0,186842309,secondary,False,409.35900000000004,1400 North,"LINESTRING (-111.82905 41.7574806, -111.8289534 41.7574801, -111.8273771 41.7574725, -111.8270981 41.7574711, -111.8259583 41.7574656, -111.8253645 41.7574627, -111.8249249 41.7574601, -111.824788 41.7574613, -111.824218 41.7574634, -111.824115 41.7574647)",72.4,90.2,20.4,0.016,0.016,1184408.3823853573,5,45 mph,,,,,
82882344,82933926,0,369164998,tertiary,False,276.34900000000005,North 200 East,"LINESTRING (-111.82905 41.7574806, -111.8290448 41.7576383, -111.8290295 41.7581036, -111.8290192 41.7584167, -111.8290025 41.7589254, -111.8289886 41.759347, -111.8289682 41.7599651)",45.2,1.4,22.0,-0.001,0.001,474787.38270776405,2,,,,,,
82882340,82918259,0,36859650,tertiary,False,527.11,400 East,"LINESTRING (-111.824115 41.7574647, -111.8240958 41.7577569, -111.8240785 41.7580182, -111.8240508 41.7584393, -111.8240423 41.7585679, -111.8240098 41.7590613, -111.8240019 41.7591825, -111.8239669 41.7597131, -111.8238986 41.7607504, -111.8238844 41.7609657, -111.8238445 41.7615715, -111.8238324 41.7617545, -111.8238031 41.7621994)",45.2,2.8,42.0,-0.004,0.004,904797.236894121,,,,,,,
82882340,82882344,0,186842309,secondary,False,409.359,1400 North,"LINESTRING (-111.824115 41.7574647, -111.824218 41.7574634, -111.824788 41.7574613, -111.8249249 41.7574601, -111.8253645 41.7574627, -111.8259583 41.7574656, -111.8270981 41.7574711, -111.8273771 41.7574725, -111.8289534 41.7574801, -111.82905 41.7574806)",72.4,270.2,20.4,-0.016,0.016,1183675.040649003,5,45 mph,,,,,
82882340,82882336,0,186842309,secondary,False,419.83799999999997,1400 North,"LINESTRING (-111.824115 41.7574647, -111.8239441 41.7574633, -111.8228938 41.7574558, -111.82124 41.757444, -111.8199281 41.757428, -111.8192052 41.7574188, -111.819054 41.7574169)",72.4,90.7,20.9,0.021,0.021,1214650.3112546578,5,45 mph,,,,,
82882340,82918250,0,1086469494,tertiary,False,121.30199999999999,400 East,"LINESTRING (-111.824115 41.7574647, -111.8241188 41.7573228, -111.8241302 41.7568513, -111.8241424 41.756374)",45.2,181.1,9.7,0.012,0.012,208979.28131058786,,,,,,,
82918250,360815799,0,10085927,residential,False,113.08,1370 North,"LINESTRING (-111.8241424 41.756374, -111.8252052 41.7564018, -111.8252738 41.7561841)",41.6,257.3,9.8,-0.011,0.011,177886.22341644837,,,,,,,
82918250,82882340,0,1086469494,tertiary,False,121.30199999999999,400 East,"LINESTRING (-111.8241424 41.756374, -111.8241302 41.7568513, -111.8241188 41.7573228, -111.824115 41.7574647)",45.2,1.1,9.7,-0.012,0.012,208866.74699777467,,,,,,,
82918250,82915678,0,1086469494,tertiary,False,207.594,400 East,"LINESTRING (-111.8241424 41.756374, -111.8241475 41.7562027, -111.824171 41.7554255, -111.8241711 41.7553935, -111.8241885 41.7545074)",45.2,181.1,16.5,0.002,0.002,356922.819735842,,,,,,,
82915678,82913896,0,1086469494,tertiary,False,41.107,400 East,"LINESTRING (-111.8241885 41.7545074, -111.8241991 41.7541378)",45.2,181.2,3.3,0.021,0.021,71487.56193966138,,,,,,,
82915678,3404612521,0,333343436,unclassified,False,469.99899999999997,,"LINESTRING (-111.8241885 41.7545074, -111.824038 41.7545051, -111.8240191 41.7545057, -111.8238474 41.7545032, -111.8236619 41.7545009, -111.8231787 41.7544964, -111.8230267 41.7544933, -111.822603 41.7544952, -111.8223047 41.7544944, -111.8222565 41.7545112, -111.8221909 41.7545347, -111.821853 41.7547578, -111.8212795 41.7551709, -111.8211969 41.7552301, -111.8211392 41.7552719, -111.8209437 41.7554108, -111.8208617 41.7554716, -111.8207695 41.755538, -111.8206115 41.7556311, -111.820479 41.7556503, -111.8199914 41.7556438, -111.8194214 41.7556352, -111.8192838 41.7556329, -111.819238 41.7556324, -111.8191168 41.7556306)",48.7,73.5,34.7,0.017,0.017,875257.4767951864,,,,,,,
82915678,82918250,0,1086469494,tertiary,False,207.59399999999997,400 East,"LINESTRING (-111.8241885 41.7545074, -111.8241711 41.7553935, -111.824171 41.7554255, -111.8241475 41.7562027, -111.8241424 41.756374)",45.2,1.1,16.5,-0.002,0.002,356878.87712146516,,,,,,,
82913896,82915678,0,1086469494,tertiary,False,41.107,400 East,"LINESTRING (-111.8241991 41.7541378, -111.8241885 41.7545074)",45.2,1.2,3.3,-0.021,0.021,71313.67530438844,,,,,,,
82913896,82918245,0,1086469494,tertiary,False,87.71,400 East,"LINESTRING (-111.8241991 41.7541378, -111.8242279 41.7533493)",45.2,181.6,7.0,-0.007,0.007,151307.9201248397,,,,,,,
82913896,82913897,0,10083223,residential,False,138.28300000000002,1225 North,"LINESTRING (-111.8241991 41.7541378, -111.8243266 41.7541299, -111.8244345 41.7541061, -111.8245177 41.7540876, -111.8246115 41.7540731, -111.8247106 41.7540599, -111.8258537 41.7540744)",41.6,267.1,12.0,-0.02,0.02,217368.99174574384,,,,,,,
