u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
82901501,82901497,0,10081804,residential,False,218.259,1600 North,"LINESTRING (-111.8289291 41.7611579, -111.8287896 41.7611386, -111.8285928 41.7611353, -111.8280967 41.7611269, -111.8277894 41.7611217, -111.8268696 41.7611061, -111.826822 41.7611053, -111.8266879 41.7610757, -111.8265928 41.7609877, -111.8265912 41.7608161)",41.6,101.1,18.9,0.016,0.016,343060.3801401316,,,,,,,
82901501,82918371,0,"[32134944, 10084501]",unclassified,False,445.423,1600 North,"LINESTRING (-111.8289291 41.7611579, -111.8291039 41.761192, -111.8294238 41.7611968, -111.8303584 41.7612107, -111.8305622 41.7612138, -111.8312634 41.7612242, -111.8316114 41.7612259, -111.8327119 41.7612311, -111.8329148 41.7612323, -111.8333305 41.7612431, -111.83385 41.7612777, -111.834286 41.7613254)",48.7,272.4,32.9,-0.012,0.012,829211.0464826409,"['2', '3']",,,,,,
82901501,82933926,0,369164998,tertiary,False,132.674,North 200 East,"LINESTRING (-111.8289291 41.7611579, -111.8289552 41.7603612, -111.8289589 41.76025, -111.8289682 41.7599651)",45.2,181.4,10.6,0.009,0.009,228469.69140398534,2,,,,,,
82901501,82905217,0,943678571,tertiary,False,171.47500000000002,North 200 East,"LINESTRING (-111.8289291 41.7611579, -111.8289149 41.7613642, -111.8288882 41.7617561, -111.8288677 41.7620544, -111.8288532 41.7622664, -111.8288237 41.762698)",45.2,2.9,13.7,-0.007,0.007,294926.46588361403,3,,,,,,
82918371,82918378,0,10083862,residential,False,404.608,1600 North,"LINESTRING (-111.834286 41.7613254, -111.8347912 41.7613362, -111.834938 41.7613393, -111.8354911 41.7613511, -111.8359406 41.7613607, -111.8365975 41.7613747, -111.836703 41.7613769, -111.8377068 41.7613983, -111.8382307 41.761407, -111.8390367 41.7614195, -111.8391624 41.7614215)",41.6,271.5,35.0,-0.015,0.015,634951.4726193917,,,,,,,
82918371,82901501,0,"[32134944, 10084501]",unclassified,False,445.42299999999994,1600 North,"LINESTRING (-111.834286 41.7613254, -111.83385 41.7612777, -111.8333305 41.7612431, -111.8329148 41.7612323, -111.8327119 41.7612311, -111.8316114 41.7612259, -111.8312634 41.7612242, -111.8305622 41.7612138, -111.8303584 41.7612107, -111.8294238 41.7611968, -111.8291039 41.761192, -111.8289291 41.7611579)",48.7,92.4,32.9,0.012,0.012,829553.3139857397,"['2', '3']",,,,,,
82918371,82882346,0,1069409558,primary,False,416.21099999999996,North Main Street,"LINESTRING (-111.834286 41.7613254, -111.8343011 41.7608597, -111.8343227 41.760217, -111.8343291 41.7599947, -111.8343384 41.7596723, -111.8343375 41.7594113, -111.8343354 41.7588297, -111.8343349 41.7586847, -111.8343332 41.7582196, -111.8343315 41.7577387, -111.834331 41.7575828)",79.1,180.5,18.9,0.001,0.001,1331328.8813380187,4,,US 91,,,,
82918371,82919448,0,1079340708,primary,False,402.562,North Main Street,"LINESTRING (-111.834286 41.7613254, -111.8342869 41.7618794, -111.8342875 41.7623024, -111.834287 41.7627476, -111.834279 41.7631294, -111.8342607 41.7641317, -111.8342563 41.7643796, -111.834245 41.7649455)",72.4,0.5,20.0,-0.003,0.003,1164380.6675834756,4,45 mph,US 91,,,,
82882346,82934168,0,10085813,secondary,False,406.773,1400 North,"LINESTRING (-111.834331 41.7575828, -111.8346002 41.7575898, -111.8348711 41.7575968, -111.8352388 41.7576063, -111.8360677 41.7576277, -111.836459 41.7576378, -111.837 41.7576518, -111.8376501 41.7576686, -111.8378252 41.7576731, -111.8391282 41.7577069, -111.839232 41.7577096)",64.6,272.0,22.7,-0.013,0.013,1034653.3769427101,2,,,,,,
82882346,82882344,0,"[182952368, 1057232308]",secondary,False,438.19900000000007,1400 North,"LINESTRING (-111.834331 41.7575828, -111.8341654 41.757581, -111.8334034 41.7575666, -111.8322385 41.7575423, -111.8317405 41.7575327, -111.8316603 41.7575311, -111.8314474 41.757527, -111.8310996 41.7575203, -111.8306154 41.7575109, -111.8304098 41.7575069, -111.8301481 41.7575018, -111.8297409 41.7574939, -111.8292241 41.757484, -111.82905 41.7574806)",72.4,91.5,21.8,0.014,0.014,1267552.6578729607,4,45 mph,,,,,
82882346,82918371,0,1069409558,primary,False,416.21099999999996,North Main Street,"LINESTRING (-111.834331 41.7575828, -111.8343315 41.7577387, -111.8343332 41.7582196, -111.8343349 41.7586847, -111.8343354 41.7588297, -111.8343375 41.7594113, -111.8343384 41.7596723, -111.8343291 41.7599947, -111.8343227 41.760217, -111.8343011 41.7608597, -111.834286 41.7613254)",79.1,0.5,18.9,-0.001,0.001,1331217.3357456399,4,,US 91,,,,
82882346,82918392,0,"[182543763, 1069409558]",primary,False,353.73099999999994,North Main Street,"LINESTRING (-111.834331 41.7575828, -111.8343344 41.7574089, -111.8343394 41.7571757, -111.8343513 41.756595, -111.8343547 41.7564275, -111.8343552 41.7563623, -111.8343613 41.7560517, -111.8343643 41.7558825, -111.834366 41.7557991, -111.8343938 41.7550722, -111.8343963 41.7550171, -111.8344083 41.7547474, -111.8344202 41.7544834, -111.834424 41.7544025)",79.1,181.2,16.1,0.001,0.001,1132209.8804523153,4,,US 91,,,,
82918392,82915681,0,10083477,unclassified,False,436.793,1250 North,"LINESTRING (-111.834424 41.7544025, -111.8342533 41.7543864, -111.8338312 41.7543465, -111.8336246 41.7543, -111.8335479 41.7542825, -111.8329292 41.754247, -111.8317313 41.7542146, -111.8304688 41.7542062, -111.8301773 41.7542043, -111.8293614 41.7541804, -111.8291793 41.7541751)",48.7,93.3,32.3,0.014,0.014,813513.8603913683,,,,,,,
82918392,82882346,0,"[182543763, 1069409558]",primary,False,353.73100000000005,North Main Street,"LINESTRING (-111.834424 41.7544025, -111.8344202 41.7544834, -111.8344083 41.7547474, -111.8343963 41.7550171, -111.8343938 41.7550722, -111.834366 41.7557991, -111.8343643 41.7558825, -111.8343613 41.7560517, -111.8343552 41.7563623, -111.8343547 41.7564275, -111.8343513 41.756595, -111.8343394 41.7571757, -111.8343344 41.7574089, -111.834331 41.7575828)",79.1,1.2,16.1,-0.001,0.001,1132106.4794390064,4,,US 91,,,,
82918392,82936494,0,182543763,primary,False,199.70100000000002,North Main Street,"LINESTRING (-111.834424 41.7544025, -111.8344243 41.7542514, -111.8344294 41.753745, -111.8344311 41.7535297, -111.8344326 41.753423, -111.8344324 41.7533712, -111.8344347 41.753099, -111.8344362 41.7529225, -111.8344397 41.7526066)",79.1,180.4,9.1,0.006,0.006,641372.7767424646,4,,US 91,,,,
82918392,360804083,0,1096378195,unclassified,False,425.29900000000004,1250 North,"LINESTRING (-111.834424 41.7544025, -111.8346128 41.754407, -111.8350253 41.7544168, -111.8357062 41.7544329, -111.8360473 41.7544396, -111.8369005 41.7544567, -111.8371158 41.7544401, -111.8373413 41.7543742, -111.8375295 41.7542789, -111.8377363 41.7541525, -111.8379072 41.7540828, -111.8381611 41.7540129, -111.838396 41.754, -111.8392785 41.7540225, -111.8393905 41.7540251)",48.7,264.2,31.4,-0.015,0.015,791783.5512823343,,,,,,,
82936494,3637357215,0,182543763,primary,False,33.567,North Main Street,"LINESTRING (-111.8344397 41.7526066, -111.8344486 41.7523048)",79.1,181.3,1.5,0.01,0.01,111946.00013728069,4,,US 91,,,,
82936494,82931519,0,10085407,unclassified,False,434.952,1120 North,"LINESTRING (-111.8344397 41.7526066, -111.8342886 41.7526039, -111.8341644 41.7526017, -111.8340577 41.7526019, -111.8336692 41.7525968, -111.8329798 41.7525525, -111.8318964 41.7525413, -111.8317179 41.7524693, -111.8315309 41.7523935, -111.8305174 41.7523909, -111.8302303 41.7523902, -111.8299718 41.7523851, -111.8295262 41.7523764, -111.8293569 41.7523733, -111.8292498 41.7523714)",48.7,93.5,32.2,0.011,0.011,810079.5697339503,,,,,,,
82936494,82918392,0,182543763,primary,False,199.701,North Main Street,"LINESTRING (-111.8344397 41.7526066, -111.8344362 41.7529225, -111.8344347 41.753099, -111.8344324 41.7533712, -111.8344326 41.753423, -111.8344311 41.7535297, -111.8344294 41.753745, -111.8344243 41.7542514, -111.834424 41.7544025)",79.1,0.4,9.1,-0.006,0.006,641200.0510868129,4,,US 91,,,,
