u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,lanes,ref,maxspeed,bridge,width,junction,access,simple_model_e
82869405,82885719,0,"[10080334, 10078710]",residential,False,678.1949999999999,North 1200 West,"LINESTRING (-112.0511432 41.8044164, -112.0484779 41.8044867, -112.0475785 41.8045104, -112.0474972 41.8044761, -112.0474709 41.8044315, -112.0474756 41.8037692, -112.0473741 41.8020481, -112.0473178 41.8011122)",41.6,139.2,58.7,0.024,0.024,,,,,,,,1064069.7896019612
82869405,82885719,1,10081315,unclassified,False,501.603,North Beaver Dam Road,"LINESTRING (-112.0511432 41.8044164, -112.0505347 41.8035174, -112.050309 41.8032024, -112.0487582 41.8016884, -112.0483645 41.8014272, -112.0478412 41.8012375, -112.0475723 41.8012088, -112.0473178 41.8011122)",48.5,139.2,37.2,0.032,0.032,,,,,,,,929713.4722009578
82882020,82910921,0,10083738,residential,False,335.771,1000 East,"LINESTRING (-111.794238 41.8084883, -111.7942124 41.8054687)",41.6,179.6,29.1,-0.039,0.039,,,,,,,,526983.5303926154
82882020,4562162812,0,"[589966576, 10083738]",residential,False,455.80699999999996,"['1000 East', '630 North']","LINESTRING (-111.794238 41.8084883, -111.794281 41.8088595, -111.7943926 41.8091026, -111.7944613 41.8092945, -111.7946072 41.8094992, -111.7949248 41.8098063, -111.7955341 41.8101199, -111.7963491 41.8105092, -111.7975602 41.8110582, -111.7979242 41.8112308)",41.6,314.9,39.4,-0.067,0.067,,,,,,,,715198.4581401194
82882020,82882028,0,"[10079992, 1109748354]",residential,False,512.998,Enterprise Point,"LINESTRING (-111.794238 41.8084883, -111.793958 41.8084973, -111.7930451 41.8085268, -111.7926417 41.8084756, -111.7921267 41.8083285, -111.7917233 41.8081046, -111.7914143 41.8078359, -111.7912426 41.8076119, -111.7911225 41.8073112, -111.791071 41.8070297, -111.7910452 41.8061468, -111.7910195 41.8059549, -111.790968 41.8058142, -111.7908223 41.8056451)",41.6,138.2,44.4,0.012,0.012,,,,,,,,805021.9257303089
82882028,82882020,0,"[10079992, 1109748354]",residential,False,512.9979999999999,Enterprise Point,"LINESTRING (-111.7908223 41.8056451, -111.790968 41.8058142, -111.7910195 41.8059549, -111.7910452 41.8061468, -111.791071 41.8070297, -111.7911225 41.8073112, -111.7912426 41.8076119, -111.7914143 41.8078359, -111.7917233 41.8081046, -111.7921267 41.8083285, -111.7926417 41.8084756, -111.7930451 41.8085268, -111.793958 41.8084973, -111.794238 41.8084883)",41.6,318.2,44.4,-0.012,0.012,,,,,,,,805042.8194342408
82882028,7079078556,0,"[10084327, 418115946, 10080558, 954042137, 10083133]","['unclassified', 'residential']",False,5726.343999999999,"['Canyon Road', '3400 North', 'Hyde Park Canyon Road']","LINESTRING (-111.7908223 41.8056451, -111.790405 41.805846, -111.7902757 41.8059195, -111.789863 41.806225, -111.789727 41.806298, -111.789049 41.806552, -111.7889817 41.8065982, -111.788043 41.807242, -111.7878023 41.8073761, -111.7873427 41.8074886, -111.787105 41.8075915, -111.7866 41.80785, -111.785813 41.808188, -111.7855317 41.8083723, -111.784753 41.809091, -111.784593 41.80921, -111.784466 41.809277, -111.7839207 41.809444, -111.783576 41.8096455, -111.783178 41.809839, -111.782641 41.810038, -111.782018 41.810311, -111.781586 41.810444, -111.78072 41.810674, -111.780573 41.810745, -111.780337 41.810906, -111.780192 41.810961, -111.779755 41.811061, -111.7796053 41.8110776, -111.779404 41.8111, -111.779014 41.811222, -111.778668 41.811237, -111.778499 41.811272, -111.778343 41.811334, -111.778178 41.811374, -111.777855 41.811421, -111.777464 41.811504, -111.777181 41.811524, -111.776753 41.811313, -111.7764873 41.8112105, -111.776307 41.811141, -111.775756 41.810981, -111.775321 41.810777, -111.774576 41.81048, -111.774458 41.81044, -111.77393 41.810314, -111.773699 41.810177, -111.773239 41.810037, -111.772702 41.810016, -111.772097 41.809881, -111.771494 41.809786, -111.771165 41.809711, -111.770778 41.809595, -111.770348 41.809491, -111.769238 41.809355, -111.769116 41.809302, -111.768882 41.809126, -111.768764 41.809096, -111.768303 41.809159, -111.767527 41.809314, -111.767351 41.809334, -111.766839 41.809341, -111.766731 41.809304, -111.766728 41.809242, -111.767207 41.808937, -111.767454 41.808829, -111.768031 41.808637, -111.768207 41.808615, -111.768373 41.808623, -111.769015 41.808708, -111.769194 41.808707, -111.769374 41.808667, -111.769616 41.808553, -111.769721 41.808481, -111.770034 41.808222, -111.7703447 41.8079904, -111.770608 41.807794, -111.770729 41.807663, -111.770762 41.807569, -111.770779 41.807185, -111.7707993 41.8070469, -111.770896 41.806389, -111.770982 41.805168, -111.770999 41.804489, -111.770941 41.804335, -111.770872 41.804265, -111.770707 41.804198, -111.769675 41.804135, -111.769469 41.804091, -111.769364 41.804037, -111.769292 41.803949, -111.7691987 41.8036256, -111.769135 41.803405, -111.769114 41.803308, -111.76914 41.803186, -111.769204 41.803125, -111.769284 41.803089, -111.770128 41.802815, -111.77051 41.802648, -111.770663 41.802562, -111.771177 41.802202, -111.771747 41.80165, -111.7720173 41.801364, -111.772058 41.801321, -111.772294 41.801121, -111.773191 41.800629, -111.773672 41.800321, -111.77414 41.800106, -111.774647 41.799904, -111.774988 41.799795, -111.775293 41.799719, -111.775456 41.799695, -111.775741 41.799689, -111.777175 41.799854, -111.777732 41.799947, -111.778217 41.800069, -111.77855 41.800172, -111.77865 41.800185, -111.7789159 41.8002497, -111.779048 41.80026, -111.779261 41.800248, -111.779557 41.800136, -111.7801621 41.799842, -111.781889 41.798964, -111.782884 41.798468, -111.783599 41.798149, -111.784236 41.79777, -111.784318 41.797736, -111.784469 41.797715, -111.78468 41.797734, -111.785011 41.797795, -111.785343 41.797809, -111.785654 41.797755, -111.7859229 41.7976832, -111.786175 41.7977352, -111.7864754 41.7977472, -111.7866578 41.7977032, -111.7869636 41.7975832, -111.7873176 41.7974193, -111.7876847 41.7972823, -111.7879292 41.7971913, -111.7884227 41.7970793, -111.7891469 41.7968514, -111.7896619 41.7966274, -111.7898711 41.7965874, -111.7904362 41.7965307, -111.7914482 41.7963635, -111.7917272 41.7962475, -111.7920866 41.7960555, -111.7925855 41.7957716, -111.7929825 41.7955516, -111.7933848 41.7954956, -111.7939588 41.7953836, -111.7945271 41.7952221, -111.794866 41.7950697)",48.5,195.9,425.0,-0.008,0.008,,,,,,,,10601311.075848741
82882028,82913291,0,954042137,residential,False,334.47400000000005,Canyon Road,"LINESTRING (-111.7908223 41.8056451, -111.79113 41.805464, -111.792955 41.804509, -111.7938677 41.8040571, -111.7941807 41.8040163)",41.6,237.0,28.9,-0.069,0.069,,,,,,,,524889.345738066
82882138,82938298,0,10086320,residential,False,42.491,1150 East,"LINESTRING (-111.8055208 41.7608255, -111.8055029 41.7604436)",41.6,178.0,3.7,0.01,0.01,,,,,,,,67307.64073429022
82882138,82937873,0,"[10086265, 10080002]",residential,False,133.753,"['1100 East', '1625 North']","LINESTRING (-111.8055208 41.7608255, -111.8065267 41.7608033, -111.8066041 41.7607944, -111.8067231 41.76075, -111.8067648 41.7606656, -111.8067648 41.7605635, -111.8067767 41.7604614)",41.6,248.8,11.6,-0.023,0.023,,,,,,,,210337.34543574342
