u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
4209221230,82910597,0,10082776,residential,False,107.53,160 North,"LINESTRING (-111.80128 41.8020809, -111.7999828 41.8020899)",41.6,89.5,9.3,0.077,0.077,169566.45468165015,,,,,,,
4209221230,3724660006,0,"[10082776, 368614520]",residential,False,420.33399999999995,"['160 North', '700 East']","LINESTRING (-111.80128 41.8020809, -111.802292 41.802074, -111.802372 41.802044, -111.80243 41.80199, -111.802494 41.801877, -111.8027524 41.8012863, -111.802937 41.8008643, -111.8031978 41.8001668, -111.8032946 41.7998175, -111.803314 41.7995779, -111.8032868 41.7993758, -111.8032055 41.7992084)",41.6,206.6,36.4,-0.037,0.037,659664.9054024043,,,,,,,
4209221230,4562087187,0,460578401,residential,False,273.89,760 East,"LINESTRING (-111.80128 41.8020809, -111.8012831 41.8011991, -111.8012669 41.8011022, -111.8010067 41.8006476, -111.8006236 41.7998421, -111.8005472 41.7997199)",41.6,167.0,23.7,0.001,0.001,430195.605892488,,,,,,,
3724660006,4209221230,0,"[368614520, 10082776]",residential,False,420.334,"['160 North', '700 East']","LINESTRING (-111.8032055 41.7992084, -111.8032868 41.7993758, -111.803314 41.7995779, -111.8032946 41.7998175, -111.8031978 41.8001668, -111.802937 41.8008643, -111.8027524 41.8012863, -111.802494 41.801877, -111.80243 41.80199, -111.802372 41.802044, -111.802292 41.802074, -111.80128 41.8020809)",41.6,26.6,36.4,0.037,0.037,659825.5451212383,,,,,,,
3724660006,8830143439,0,954042130,residential,True,173.43900000000002,700 East,"LINESTRING (-111.8032055 41.7992084, -111.8031964 41.7991048, -111.803075 41.7988106, -111.8030671 41.7987711, -111.8030283 41.7985756, -111.8029979 41.7982989, -111.8030283 41.7979925, -111.8030712 41.7978224, -111.8030796 41.7977888, -111.8030843 41.7977174, -111.8030649 41.7976727)",41.6,176.1,15.0,-0.064,0.064,272492.37280082365,1,,,,,,
8830143439,82903514,0,954042131,residential,False,3.812,South 700 East,"LINESTRING (-111.8030649 41.7976727, -111.8030803 41.7976404)",41.6,199.6,0.3,-0.011,0.011,6691.943044582665,,,,,,,
8830143439,3724660006,0,954042134,residential,True,180.227,700 East,"LINESTRING (-111.8030649 41.7976727, -111.8029776 41.7977272, -111.8029583 41.7978041, -111.8028996 41.798037, -111.8028815 41.7982086, -111.8028913 41.7983837, -111.8029379 41.7987234, -111.8029565 41.7987829, -111.8030163 41.7989749, -111.803155 41.7991634, -111.8032055 41.7992084)",41.6,356.1,15.6,0.062,0.062,283428.0756803309,1,,,,,,
82903514,8830143439,0,954042131,residential,False,3.812,South 700 East,"LINESTRING (-111.8030803 41.7976404, -111.8030649 41.7976727)",41.6,19.6,0.3,0.011,0.011,6678.909719823499,,,,,,,
82903514,82915116,0,10082027,residential,False,454.47900000000004,Center Street,"LINESTRING (-111.8030803 41.7976404, -111.8032123 41.7976759, -111.8035314 41.7978791, -111.8040583 41.7983569, -111.8043238 41.7986021, -111.8044144 41.7987189, -111.8044473 41.7988985, -111.8044591 41.7989957, -111.8045294 41.7990659, -111.8046773 41.799119, -111.8053742 41.7991132, -111.8056685 41.7991108, -111.8062158 41.798952, -111.8064336 41.7989551, -111.8074705 41.7989699)",41.6,292.1,39.3,-0.042,0.042,713109.8720138522,,,,,,,
82903514,3724659970,0,954042129,residential,False,85.996,700 East,"LINESTRING (-111.8030803 41.7976404, -111.8035324 41.797033, -111.803584 41.7969643)",41.6,209.0,7.4,-0.049,0.049,135420.6139901027,,,,,,,
3724659970,3724659947,0,"[368614521, 460584972]",residential,False,305.221,Bluff Street,"LINESTRING (-111.803584 41.7969643, -111.8034348 41.7968964, -111.8027206 41.7965717, -111.8024341 41.7964273, -111.8022172 41.7962628, -111.8015667 41.7953678, -111.8014699 41.7951484, -111.8014418 41.7950207, -111.8014375 41.7948966)",41.6,142.3,26.4,0.017,0.017,479368.1832798017,,,,,,,
3724659970,4562087127,0,"[368614522, 460584971]",residential,False,513.0350000000001,"['100 South', '85 South']","LINESTRING (-111.803584 41.7969643, -111.8036927 41.7970038, -111.803727 41.7970167, -111.803988 41.7970994, -111.8043063 41.7971438, -111.805734 41.7971468, -111.8059382 41.7971825, -111.8061901 41.7973009, -111.806505 41.7974377, -111.8069266 41.7975051, -111.8096176 41.7975296)",41.6,277.2,44.4,-0.054,0.054,804892.4650729086,,,,,,,
3724659970,3724659961,0,954042129,residential,False,133.042,700 East,"LINESTRING (-111.803584 41.7969643, -111.803651 41.7968771, -111.8038725 41.7965896, -111.8040751 41.7963324, -111.8042777 41.7960936, -111.8043413 41.7960009, -111.80439 41.7959302)",41.6,210.2,11.5,-0.072,0.072,209109.95744136427,,,,,,,
3724659970,82903514,0,954042129,residential,False,85.996,700 East,"LINESTRING (-111.803584 41.7969643, -111.8035324 41.797033, -111.8030803 41.7976404)",41.6,29.0,7.4,0.049,0.049,135660.53640692172,,,,,,,
3724659961,3724659964,0,368614524,residential,False,68.566,East 150 South,"LINESTRING (-111.80439 41.7959302, -111.8045073 41.7959777, -111.8051166 41.7962248)",41.6,298.5,5.9,-0.038,0.038,108050.00215165701,,,,,,,
3724659961,3724659957,0,368614524,residential,False,103.85799999999999,East 150 South,"LINESTRING (-111.80439 41.7959302, -111.8042434 41.7958751, -111.8040323 41.7957961, -111.8035285 41.7957553, -111.8031835 41.7957716)",41.6,100.0,9.0,0.053,0.053,163742.5838814679,,,,,,,
3724659961,82925961,0,954042129,residential,False,124.28399999999999,700 East,"LINESTRING (-111.80439 41.7959302, -111.8044378 41.7958611, -111.8044995 41.7957731, -111.8046035 41.7955751, -111.8046775 41.7953566, -111.8047268 41.7950586, -111.8047357 41.794937, -111.8047421 41.7948565)",41.6,193.7,10.8,-0.053,0.053,195449.6531064458,,,,,,,
3724659961,3724659970,0,954042129,residential,False,133.042,700 East,"LINESTRING (-111.80439 41.7959302, -111.8043413 41.7960009, -111.8042777 41.7960936, -111.8040751 41.7963324, -111.8038725 41.7965896, -111.803651 41.7968771, -111.803584 41.7969643)",41.6,30.2,11.5,0.072,0.072,209496.8858869376,,,,,,,
82925961,82912468,0,10083029,tertiary,False,505.66600000000005,1200 East,"LINESTRING (-111.8047421 41.7948565, -111.8047313 41.7939698, -111.8047253 41.7934506, -111.804712 41.7927731, -111.8047085 41.7925899, -111.8047006 41.7921744, -111.8046992 41.7921013, -111.8046899 41.7916174, -111.804684 41.7903092)",45.1,179.5,40.4,-0.017,0.017,865970.1382025735,,,,,,,
82925961,82925963,0,10084691,tertiary,False,345.907,200 South,"LINESTRING (-111.8047421 41.7948565, -111.805566 41.7948566, -111.8059066 41.7948567, -111.806392 41.7948568, -111.808814 41.7948714, -111.8089146 41.7948723)",40.2,270.3,31.0,-0.059,0.059,523181.7122577316,,25 mph,,,,,
82925961,3724659947,0,10084691,tertiary,False,273.987,200 South,"LINESTRING (-111.8047421 41.7948565, -111.8027996 41.7948801, -111.8014375 41.7948966)",40.2,89.1,24.5,0.078,0.078,414950.5957337432,,25 mph,,,,,
82925961,3724659961,0,954042129,residential,False,124.284,700 East,"LINESTRING (-111.8047421 41.7948565, -111.8047357 41.794937, -111.8047268 41.7950586, -111.8046775 41.7953566, -111.8046035 41.7955751, -111.8044995 41.7957731, -111.8044378 41.7958611, -111.80439 41.7959302)",41.6,13.7,10.8,0.053,0.053,195694.6699802025,,,,,,,
82912468,82931185,0,10085346,residential,False,201.215,3250 North,"LINESTRING (-111.804684 41.7903092, -111.8022571 41.7903281)",41.6,89.4,17.4,0.066,0.066,316419.249317278,,,,,,,
82912468,82925961,0,10083029,tertiary,False,505.666,1200 East,"LINESTRING (-111.804684 41.7903092, -111.8046899 41.7916174, -111.8046992 41.7921013, -111.8047006 41.7921744, -111.8047085 41.7925899, -111.804712 41.7927731, -111.8047253 41.7934506, -111.8047313 41.7939698, -111.8047421 41.7948565)",45.1,359.5,40.4,0.017,0.017,865965.8766406487,,,,,,,
82912468,82912467,0,10083029,tertiary,False,302.84000000000003,1200 East,"LINESTRING (-111.804684 41.7903092, -111.8046765 41.7876903, -111.8046763 41.7875857)",45.1,179.9,24.2,-0.021,0.021,518973.02725604223,,,,,,,
