u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
4209221230,82910597,0,10082776,residential,False,107.53,160 North,"LINESTRING (-111.80128 41.8020809, -111.7999828 41.8020899)",41.6,89.5,9.3,0.077,0.077,169566.45468165015,,,,,,,
4209221230,3724660006,0,"[10082776, 368614520]",residential,False,420.33399999999995,"['160 North', '700 East']","LINESTRING (-111.80128 41.8020809, -111.802292 41.802074, -111.802372 41.802044, -111.80243 41.80199, -111.802494 41.801877, -111.8027524 41.8012863, -111.802937 41.8008643, -111.8031978 41.8001668, -111.8032946 41.7998175, -111.803314 41.7995779, -111.8032868 41.7993758, -111.8032055 41.7992084)",41.6,206.6,36.4,-0.037,0.037,659664.9054024043,,,,,,,
4209221230,4562087187,0,460578401,residential,False,273.89,760 East,"LINESTRING (-111.80128 41.8020809, -111.8012831 41.8011991, -111.8012669 41.8011022, -111.8010067 41.8006476, -111.8006236 41.7998421, -111.8005472 41.7997199)",41.6,167.0,23.7,0.001,0.001,430195.605892488,,,,,,,
3724660006,4209221230,0,"[368614520, 10082776]",residential,False,420.334,"['160 North', '700 East']","LINESTRING (-111.8032055 41.7992084, -111.8032868 41.7993758, -111.803314 41.7995779, -111.8032946 41.7998175, -111.8031978 41.8001668, -111.802937 41.8008643, -111.8027524 41.8012863, -111.802494 41.801877, -111.80243 41.80199, -111.802372 41.802044, -111.802292 41.802074, -111.80128 41.8020809)",41.6,26.6,36.4,0.037,0.037,659825.5451212383,,,,,,,
3724660006,8830143439,0,954042130,residential,True,173.43900000000002,700 East,"LINESTRING (-111.8032055 41.7992084, -111.8031964 41.7991048, -111.803075 41.7988106, -111.8030671 41.7987711, -111.8030283 41.7985756, -111.8029979 41.7982989, -111.8030283 41.7979925, -111.8030712 41.7978224, -111.8030796 41.7977888, -111.8030843 41.7977174, -111.8030649 41.7976727)",41.6,176.1,15.0,-0.064,0.064,272492.37280082365,1,,,,,,
8830143439,82903514,0,954042131,residential,False,3.812,South 700 East,"LINESTRING (-111.8030649 41.7976727, -111.8030803 41.7976404)",41.6,199.6,0.3,-0.011,0.011,6691.943044582665,,,,,,,
8830143439,3724660006,0,954042134,residential,True,180.227,700 East,"LINESTRING (-111.8030649 41.7976727, -111.8029776 41.7977272, -111.8029583 41.7978041, -111.8028996 41.798037, -111.8028815 41.7982086, -111.8028913 41.7983837, -111.8029379 41.7987234, -111.8029565 41.7987829, -111.8030163 41.7989749, -111.803155 41.7991634, -111.8032055 41.7992084)",41.6,356.1,15.6,0.062,0.062,283428.0756803309,1,,,,,,
82903514,8830143439,0,954042131,residential,False,3.812,South 700 East,"LINESTRING (-111.8030803 41.7976404, -111.8030649 41.7976727)",41.6,19.6,0.3,0.011,0.011,6678.909719823499,,,,,,,
82903514,82915116,0,10082027,residential,False,454.47900000000004,Center Street,"LINESTRING (-111.8030803 41.7976404, -111.8032123 41.7976759, -111.8035314 41.7978791, -111.8040583 41.7983569, -111.8043238 41.7986021, -111.8044144 41.7987189, -111.8044473 41.7988985, -111.8044591 41.7989957, -111.8045294 41.7990659, -111.8046773 41.799119, -111.8053742 41.7991132, -111.8056685 41.7991108, -111.8062158 41.798952, -111.8064336 41.7989551, -111.8074705 41.7989699)",41.6,292.1,39.3,-0.042,0.042,713109.8720138522,,,,,,,
82903514,3724659970,0,954042129,residential,False,85.996,700 East,"LINESTRING (-111.8030803 41.7976404, -111.8035324 41.797033, -111.803584 41.7969643)",41.6,209.0,7.4,-0.049,0.049,135420.6139901027,,,,,,,
82915116,82915112,0,10082027,residential,False,179.312,Center Street,"LINESTRING (-111.8074705 41.7989699, -111.8096334 41.7989938)",41.6,270.8,15.5,-0.055,0.055,281654.39332717954,,,,,,,
82915116,82928689,0,10085038,residential,False,59.957,500 East,"LINESTRING (-111.8074705 41.7989699, -111.8074725 41.7984307)",41.6,180.2,5.2,-0.041,0.041,94636.47304027645,,,,,,,
82915116,82903514,0,10082027,residential,False,454.4789999999999,Center Street,"LINESTRING (-111.8074705 41.7989699, -111.8064336 41.7989551, -111.8062158 41.798952, -111.8056685 41.7991108, -111.8053742 41.7991132, -111.8046773 41.799119, -111.8045294 41.7990659, -111.8044591 41.7989957, -111.8044473 41.7988985, -111.8044144 41.7987189, -111.8043238 41.7986021, -111.8040583 41.7983569, -111.8035314 41.7978791, -111.8032123 41.7976759, -111.8030803 41.7976404)",41.6,112.1,39.3,0.042,0.042,713451.76468265,,,,,,,
82915116,82921677,0,"[10084202, 10084283]",residential,False,247.39100000000002,"['100 North', '500 East']","LINESTRING (-111.8074705 41.7989699, -111.8075159 41.8000154, -111.8074849 41.800198, -111.807377 41.8003209, -111.80729 41.8004265, -111.8072999 41.8004617, -111.807457 41.8006153, -111.807709 41.8007931, -111.8079511 41.8009454)",41.6,349.7,21.4,0.022,0.022,388605.9380658596,,,,,,,
82915112,82915116,0,10082027,residential,False,179.312,Center Street,"LINESTRING (-111.8096334 41.7989938, -111.8074705 41.7989699)",41.6,90.8,15.5,0.055,0.055,282044.33999996906,,,,,,,
82915112,82918211,0,10083843,tertiary,False,216.287,400 East,"LINESTRING (-111.8096334 41.7989938, -111.8096432 41.8009389)",45.1,359.8,17.3,0.02,0.02,370923.0361563629,2,,,,,,
82915112,82915110,0,10083388,tertiary,False,172.752,Center Street,"LINESTRING (-111.8096334 41.7989938, -111.8110394 41.7990084, -111.8117172 41.7990154)",45.1,270.8,13.8,-0.038,0.038,296281.57851824263,,,,,,,
82915112,82924789,0,10084527,tertiary,False,115.625,400 East,"LINESTRING (-111.8096334 41.7989938, -111.8096297 41.7986822, -111.8096261 41.7983343, -111.8096227 41.7980146, -111.8096221 41.797954)",45.1,179.5,9.2,-0.014,0.014,198720.3199874123,2,,,,,,
82915110,82915108,0,10083388,tertiary,False,51.342,Center Street,"LINESTRING (-111.8117172 41.7990154, -111.8123365 41.7990218)",45.1,270.8,4.1,-0.057,0.057,88515.19887863987,,,,,,,
82915110,82926734,0,10084806,residential,False,213.112,Pineview Drive,"LINESTRING (-111.8117172 41.7990154, -111.8117986 41.7970998)",41.6,181.8,18.4,-0.02,0.02,334832.0524558364,,,,,,,
82915110,82915112,0,10083388,tertiary,False,172.752,Center Street,"LINESTRING (-111.8117172 41.7990154, -111.8110394 41.7990084, -111.8096334 41.7989938)",45.1,90.8,13.8,0.038,0.038,296591.8837125391,,,,,,,
82915108,82915110,0,10083388,tertiary,False,51.342,Center Street,"LINESTRING (-111.8123365 41.7990218, -111.8117172 41.7990154)",45.1,90.8,4.1,0.057,0.057,88955.53992788309,,,,,,,
82915108,82926591,0,10084774,residential,False,109.374,North 300 East,"LINESTRING (-111.8123365 41.7990218, -111.8123278 41.8000054)",41.6,0.4,9.5,0.014,0.014,172188.36400392698,,,,,,,
82915108,82915104,0,10083388,tertiary,False,160.152,Center Street,"LINESTRING (-111.8123365 41.7990218, -111.8131904 41.7990307, -111.8142683 41.7990419)",45.1,270.8,12.8,-0.051,0.051,274681.72515321296,,,,,,,
82915104,82921709,0,10085772,residential,False,218.87,200 East,"LINESTRING (-111.8142683 41.7990419, -111.814191 41.8010094)",41.6,1.7,18.9,-0.008,0.008,343796.8814046102,,,,,,,
82915104,82915108,0,10083388,tertiary,False,160.152,Center Street,"LINESTRING (-111.8142683 41.7990419, -111.8131904 41.7990307, -111.8123365 41.7990218)",45.1,90.8,12.8,0.051,0.051,275081.0022522194,,,,,,,
82915104,82912497,0,10083388,tertiary,False,208.235,Center Street,"LINESTRING (-111.8142683 41.7990419, -111.8166464 41.7990666, -111.8167801 41.7990679)",45.1,270.8,16.6,-0.047,0.047,356953.09022529254,,,,,,,
82915104,82922016,0,10085125,residential,False,226.817,200 East,"LINESTRING (-111.8142683 41.7990419, -111.814342 41.797272, -111.8143445 41.797237, -111.8143541 41.7970031)",41.6,181.8,19.6,-0.021,0.021,356316.80383429606,,,,,,,
82912497,82912498,0,10083038,residential,False,220.289,100 East,"LINESTRING (-111.8167801 41.7990679, -111.8167828 41.7991645, -111.816757 41.7997697, -111.8167504 41.7999732, -111.8167152 41.8010483)",41.6,1.4,19.1,-0.004,0.004,346034.22924508044,,,,,,,
