osmid,y,x,street_count,elevation,highway,geometry
82869405,41.8044164,-112.0511432,3,1407.609,,POINT (-112.0511432 41.8044164)
82882020,41.8084883,-111.794238,3,1536.702,,POINT (-111.794238 41.8084883)
82882028,41.8056451,-111.7908223,3,1542.659,,POINT (-111.7908223 41.8056451)
82882138,41.7608255,-111.8055208,3,1417.724,,POINT (-111.8055208 41.7608255)
82882142,41.7043382,-111.8476873,4,1363.338,,POINT (-111.8476873 41.7043382)
82882145,41.7408423,-111.827969,3,1389.307,,POINT (-111.827969 41.7408423)
82882150,41.7420052,-111.8282592,1,1388.714,turning_circle,POINT (-111.8282592 41.7420052)
82882154,41.6124645,-111.8327311,4,1463.378,,POINT (-111.8327311 41.6124645)
82882158,41.6124974,-111.8472538,3,1462.062,,POINT (-111.8472538 41.6124974)
82882162,41.6123313,-111.877251,3,1464.558,,POINT (-111.877251 41.6123313)
82882179,41.8439696,-111.8201339,3,1447.796,,POINT (-111.8201339 41.8439696)
82882189,41.8457214,-111.8152624,4,1461.037,,POINT (-111.8152624 41.8457214)
82882204,41.8498813,-111.8048577,3,1475.816,,POINT (-111.8048577 41.8498813)
82882207,41.7053835,-111.8465125,3,1363.55,,POINT (-111.8465125 41.7053835)
82882215,41.7039157,-111.8457445,1,1364.25,turning_circle,POINT (-111.8457445 41.7039157)
82882224,41.634372,-111.8211191,3,1467.464,,POINT (-111.8211191 41.634372)
82882228,41.6339694,-111.821096,3,1467.547,,POINT (-111.821096 41.6339694)
82882232,41.6332959,-111.8210546,3,1467.612,,POINT (-111.8210546 41.6332959)
82882235,41.6322464,-111.8211156,3,1468.346,,POINT (-111.8211156 41.6322464)
82882239,41.6323168,-111.8231862,3,1466.765,,POINT (-111.8231862 41.6323168)
82882242,41.6333827,-111.8228216,3,1465.69,,POINT (-111.8228216 41.6333827)
82882243,41.633539,-111.8232165,3,1465.954,,POINT (-111.8232165 41.633539)
82882267,41.701007,-111.8676013,3,1360.398,,POINT (-111.8676013 41.701007)
82882269,41.7009867,-111.8690135,3,1359.339,,POINT (-111.8690135 41.7009867)
82882276,41.5622477,-111.8273485,4,1514.716,,POINT (-111.8273485 41.5622477)
82882277,41.5643483,-111.8273054,4,1516.978,,POINT (-111.8273054 41.5643483)
82882279,41.566444,-111.8272573,4,1518.81,,POINT (-111.8272573 41.566444)
82882280,41.568521,-111.8272231,4,1518.287,,POINT (-111.8272231 41.568521)
82882284,41.7755886,-112.0278722,3,1513.96,,POINT (-112.0278722 41.7755886)
82882285,41.5706003,-111.8271416,4,1523.098,,POINT (-111.8271416 41.5706003)
82882286,41.5727695,-111.8271072,4,1522.02,,POINT (-111.8271072 41.5727695)
82882292,41.6779889,-111.8181514,4,1415.41,,POINT (-111.8181514 41.6779889)
82882301,41.7139774,-111.830316,4,1373.77,,POINT (-111.830316 41.7139774)
82882304,41.8337067,-111.821069,3,1414.827,,POINT (-111.821069 41.8337067)
82882308,41.757026,-111.7905426,3,1470.026,,POINT (-111.7905426 41.757026)
82882309,41.7566359,-111.7916519,4,1468.521,,POINT (-111.7916519 41.7566359)
82882310,41.7566318,-111.79266,3,1466.254,,POINT (-111.79266 41.7566318)
82882312,41.7566279,-111.79363,3,1465.7,,POINT (-111.79363 41.7566279)
82882314,41.7566239,-111.794617,3,1463.704,,POINT (-111.794617 41.7566239)
82882323,41.7571557,-111.8042788,4,1430.9,stop,POINT (-111.8042788 41.7571557)
82882332,41.7573465,-111.813861,4,1407.258,traffic_signals,POINT (-111.813861 41.7573465)
82882336,41.7574169,-111.819054,4,1398.166,traffic_signals,POINT (-111.819054 41.7574169)
